label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-1.0529,-1.5015,-0.2533,0.0165,2.0411,1.0419,-0.1304,-1.9194,0.5886,2.9262,5.2739,3.3863,-2.178,-0.8624,-2.841,-1.4237,-4.2152,0.3,0.6254,0.1782
Cancer,-1.1682,-0.9118,-1.8962,0.9928,2.3087,0.0002,-0.1229,-1.4562,1.5478,2.6834,4.3392,2.1017,-1.9538,-0.0615,-2.8292,-0.9646,-2.5042,0.1891,1.2051,-0.5202
Cancer,-1.3068,-0.1393,-0.4425,0.9308,2.0804,0.6489,0.891,-0.1362,0.9806,2.6748,4.947,-2.4963,-0.177,-0.7722,-3.8598,-0.7291,-0.8335,-0.3692,0.757,0.6788
Cancer,-1.5531,-1.9245,0.1815,0.5278,3.5826,0.5154,-0.8741,-0.5265,0.2507,2.5994,5.2588,-1.5388,-2.9822,0.1017,-2.1765,-0.7889,-3.6758,-0.5843,1.0389,-0.0812
Cancer,-0.5927,-0.9988,-2.2242,0.3558,2.6924,0.7295,-0.4516,-2.2213,2.1024,2.4328,4.4275,1.6753,-1.223,0.7318,-3.7164,0.253,-3.8798,-0.3829,0.9206,-1.3555
Cancer,-1.421,0.1152,-1.8258,-0.2018,0.9246,0.5929,0.3351,-1.5316,-0.4198,1.553,1.4726,-1.0713,-0.3878,-0.0645,-2.4056,0.6511,2.8265,0.0246,0.7676,-0.1463
Cancer,-1.8984,-0.748,-0.5108,-0.4165,3.199,0.6672,0.5088,-2.4709,-0.015,4.0548,1.8957,-2.3208,-1.7648,0.9262,-1.9479,-1.6559,1.9455,0.1311,0.0608,-0.3893
Cancer,-0.8998,-1,-1.055,-0.0482,1.0132,0.4414,-0.0478,-0.9988,2.7326,1.8376,5.3683,2.5302,-0.0422,0.4702,-3.876,-1.8365,-1.3952,2.0578,0.6142,-0.8527
Cancer,-2.0501,-1.8595,-1.839,0.1455,-3.3778,0.8874,0.1949,-0.4474,1.1013,4.1294,3.0313,0.2443,-0.649,0.3782,-3.1508,-0.0294,-3.9948,0.3632,0.7651,-0.1467
Cancer,-3.3862,0.5695,-1.8857,0.7912,-0.0196,-0.1766,-0.9346,-0.5837,-3.0691,1.5741,-3.456,-2.4337,0.1438,0.225,-0.8041,-1.7754,-1.3795,0.3034,1.3656,-0.8177
Cancer,-1.8733,-1.0318,0.2495,0.234,1.561,0.7714,0.1918,-1.6252,2.644,1.2231,4.1357,-0.5642,-0.8678,0.8652,-0.5264,-1.4971,-0.6905,0.5878,0.8202,0.2205
Cancer,-1.1292,-0.8028,0.4822,-0.304,-2.1426,1.0934,-0.5578,-1.0854,-0.4841,1.8205,3.2572,5.4402,-1.962,0.0627,-1.8412,-1.7693,-1.2445,0.0028,1.0834,0.8207
Cancer,-1.5652,-1.7858,-1.4765,1.5598,1.6129,0.8824,-0.5164,-2.4263,0.0633,2.7491,4.6572,1.4125,-3.1385,0.3796,-1.7082,-1.6166,-2.7905,1.5752,1.3574,-0.1578
Cancer,-1.7448,-0.6072,-0.5405,-0.0445,2.855,1.2311,0.1181,-1.7654,1.3302,4.8461,3.9751,-2.1015,-1.5538,-0.1444,-2.1898,-0.8215,0.9278,1.0528,0.7458,-0.2082
Cancer,-1.7814,-1.7198,0.2002,0.519,1.3722,0.9641,0.5139,-2.1969,0.4357,2.8541,2.4882,1.4858,-3.3108,-0.5298,-2.0639,-0.8672,-5.1,1.6921,1.8305,0.2618
Cancer,-3.5678,-0.9715,0.3948,-0.3578,2.0461,0.6743,-0.7085,-1.5289,1.4718,2.2615,5.7876,0.5818,-0.9982,-0.5773,-1.8748,-1.1907,-1.3025,0.4558,-0.0842,0.0468
Cancer,-0.2768,-0.9925,-1.6198,0.347,0.7962,0.7257,-1.0048,1.6062,-2.2367,1.0059,-1.6706,-2.9575,-0.9812,-0.2895,-0.5441,-0.2918,2.3898,2.5034,1.5116,-0.4555
Cancer,-1.4168,-2.082,-0.3942,-0.1638,1.7143,0.7601,0.0535,-0.9536,0.9119,3.853,4.7574,-0.7173,-2.798,0.5835,-3.1631,-1.1677,-2.7982,0.4107,0.9591,-0.2928
Cancer,-0.8342,-2.1548,-0.296,1.2155,1.0088,-0.1016,-0.7989,-0.4606,-2.4212,1.6891,-4.4153,-2.4483,-0.1145,0.6173,1.051,-0.1164,-1.8838,0.4048,1.8091,-0.4273
Cancer,-0.9422,-0.863,-0.3773,-0.4645,1.8548,1.3134,-0.0225,-1.767,0.5565,2.084,4.6184,0.1607,-1.5885,0.6845,-2.5187,-0.6698,-2.9905,-0.3723,1.5832,-0.5763
Cancer,-1.3382,-0.4788,-0.8787,0.324,2.1614,0.5535,-0.2928,-0.5953,-1.2035,1.7284,-0.4567,-1.855,-0.3785,1.0859,1.1197,-0.8302,-1.5635,1.7676,1.2137,1.6637
Cancer,-0.2485,-0.7155,-0.6882,0.181,3.0758,0.8319,-0.5792,-2.4074,3.2717,2.0338,5.12,2.0855,-1.5232,0.6367,-3.578,-0.1145,-0.0802,0.7407,0.6644,-0.7688
Cancer,-0.94,-0.798,0.0582,-0.2162,3.5285,0.8196,0.345,-2.1922,0.9773,2.019,4.397,2.9245,-0.951,0.5899,-3.3076,-0.9217,-3.5792,0.1718,1.1111,0.2733
Cancer,-0.1472,-0.5702,-0.1688,0.0535,2.5822,0.0414,0.2081,-3.1981,1.9838,3.5519,4.8109,-3.3643,-0.225,0.4162,-1.4053,-1.7069,-2.7075,0.0842,1.2776,-0.826
Cancer,-0.6607,-0.1703,-0.1997,-0.2588,2.3338,0.4781,0.3106,-1.7272,4.2252,1.3944,3.5341,1.7052,-0.885,0.2832,-2.7039,-1.0153,-2.3522,0.4141,0.6405,0.0342
Cancer,-1.672,-1.112,-0.2425,-0.234,2.4878,0.5051,0.1052,-2.7045,1.5743,2.7976,5.903,2.3308,-3.8055,-0.3929,-4.5805,0.6399,-4.371,-0.4279,1.5084,0.1027
Cancer,-1.3467,0.4352,-1.6807,-0.3438,2.0815,0.4091,0.6268,-3.2152,0.5737,1.3607,4.1302,-2.428,-1.1295,0.1993,-2.5715,-0.2371,-0.3812,0.8778,0.353,0.1532
Cancer,-0.5873,-2.6825,-0.6447,-0.06,3.0801,1.1755,-0.1069,-0.5276,1.4747,2.1615,4.2662,-3.1408,-1.129,0.2039,-2.9714,0.6057,-2.6238,0.8125,0.4607,-0.9923
